,Unnamed: 0,id,subject_class_x,subject_id,object_class,object_id,context_class_x,context_id,created_at,description,action_template_id,value,is_hidden,ext_data,created_at_year,created_at_quarter,created_at_month,created_at_date,created_at_weekday,created_at_hour,subject_class_y,context_class_y,Категория,action_category,action
15,101498,566507,Event,42631.0,User,118.0,Event,42631.0,1610265449,"Создана новая задача - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""АО &quot;АПО &quot;Аврора&quot;"" params=""{&quot;id&quot;:106}""></rb-link>. Завершить не позднее: 24.12.2020.",24.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Создано новое событие календаря
19,101511,566494,Comment,59017.0,User,118.0,Event,42629.0,1610265094,"Retunskiy, Maksim создал новый комментарий ""Поздравил клиента с НГ, отдал договор (скан). Клиент сказал, что до конца года не оплатят, переноситься на след.год т.к. берут кредит. Договорились что сброшу на эл.почту сертификат на НХ7060."" в задаче - .",87.0,,False,,2021,1,1,2021-01-10,7,10,Comment,Event,Календарь,calendar,создал новый комментарий в событии календаря
20,101510,566495,Event,42629.0,User,118.0,Event,42629.0,1610265095,"Задача завершена - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""ОАО Рудничное&quot;, (КолоСС ООО)"" params=""{&quot;id&quot;:9}""></rb-link>. Завершить не позднее: 23.12.2020.",50.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Завершено событие календаря
22,101506,566499,Event,42630.0,User,118.0,Event,42630.0,1610265219,"Создана новая задача - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""ООО &quot;Сельхозинвест&quot;"" params=""{&quot;id&quot;:956}""></rb-link>. Завершить не позднее: 24.12.2020.",24.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Создано новое событие календаря
25,101502,566503,Comment,59018.0,User,118.0,Event,42630.0,1610265364,"Retunskiy, Maksim создал новый комментарий ""Кадырова не было он в отпуске, поздравил Виталия с НГ."" в задаче - .",87.0,,False,,2021,1,1,2021-01-10,7,10,Comment,Event,Календарь,calendar,создал новый комментарий в событии календаря
26,101501,566504,Event,42630.0,User,118.0,Event,42630.0,1610265365,"Задача завершена - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""ООО &quot;Сельхозинвест&quot;"" params=""{&quot;id&quot;:956}""></rb-link>. Завершить не позднее: 24.12.2020.",50.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Завершено событие календаря
30,101494,566511,Comment,59019.0,User,118.0,Event,42631.0,1610265488,"Retunskiy, Maksim создал новый комментарий ""Поздравил клиента с НГ."" в задаче - .",87.0,,False,,2021,1,1,2021-01-10,7,10,Comment,Event,Календарь,calendar,создал новый комментарий в событии календаря
31,101493,566512,Event,42631.0,User,118.0,Event,42631.0,1610265489,"Задача завершена - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""АО &quot;АПО &quot;Аврора&quot;"" params=""{&quot;id&quot;:106}""></rb-link>. Завершить не позднее: 24.12.2020.",50.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Завершено событие календаря
32,101490,566515,Event,42632.0,User,118.0,Event,42632.0,1610265561,"Создана новая задача - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""ООО АПК &quot;Русагроальянс&quot;"" params=""{&quot;id&quot;:50}""></rb-link>. Завершить не позднее: 25.12.2020.",24.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Создано новое событие календаря
37,101476,566529,Event,42633.0,User,118.0,Event,42633.0,1610265906,"Задача завершена - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""ООО СХП &quot;СТАРТ&quot; (Шельф-2000)"" params=""{&quot;id&quot;:4706}""></rb-link>. Завершить не позднее: 25.12.2020.",50.0,,False,,2021,1,1,2021-01-10,7,11,Event,Event,Календарь,calendar,Завершено событие календаря
38,101477,566528,Comment,59021.0,User,118.0,Event,42633.0,1610265906,"Retunskiy, Maksim создал новый комментарий ""Поздравил клиента с НГ, документы передали в лизинг."" в задаче - .",87.0,,False,,2021,1,1,2021-01-10,7,11,Comment,Event,Календарь,calendar,создал новый комментарий в событии календаря
42,101482,566523,Event,42633.0,User,118.0,Event,42633.0,1610265783,"Создана новая задача - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""ООО СХП &quot;СТАРТ&quot; (Шельф-2000)"" params=""{&quot;id&quot;:4706}""></rb-link>. Завершить не позднее: 24.12.2020.",24.0,,False,,2021,1,1,2021-01-10,7,11,Event,Event,Календарь,calendar,Создано новое событие календаря
44,101485,566520,Event,42632.0,User,118.0,Event,42632.0,1610265707,"Задача завершена - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""ООО АПК &quot;Русагроальянс&quot;"" params=""{&quot;id&quot;:50}""></rb-link>. Завершить не позднее: 25.12.2020.",50.0,,False,,2021,1,1,2021-01-10,7,11,Event,Event,Календарь,calendar,Завершено событие календаря
